"","ID","level","Zvalue","Pvalue","FDR","module","score","Nfixation","plant_pathogen","arbuscular_mycorrhizal","z.degree","moduleConect","Kingdom","Phylum","Class","Order","Family","Genus","Species","degree","betweenness","eigen","hubscore","reach2","reach3"
"Arc_0001","Arc_0001","Level 1",1.95585520409362,0.257,0.534025974025974,4,-2,0,2,0,"0.556596612684486","0","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","Unidentified",3,0.00224677981447929,0.0154283351615023,0.0154283351615013,0.0696864111498258,0.202090592334495
"Arc_0002","Arc_0002","Level 1",5.55715634187975,0,0,9,-416,0,421,0,"1.31746509848052","0.724489795918367","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unidentified","Unidentified",14,0.0551378745974811,0.0779119246341881,0.0779119246341845,0.219512195121951,0.606271777003484
"Arc_0003","Arc_0003","Level 1",7.61458838411027,0,0,1,-46,0,46,0,"0.552732793279311","0.48","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea","Unidentified",10,0.0153336111446963,0.109083960069798,0.109083960069798,0.177700348432056,0.439024390243902
"Arc_0004","Arc_0004","Level 1",4.86651193757778,0,0,6,-119,0,119,0,"0.826358230144955","0.611111111111111","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","Unidentified",18,0.059226652181023,0.365088095443859,0.36508809544386,0.229965156794425,0.519163763066202
"Arc_0005","Arc_0005","Level 1",2.75929754966154,0.023,0.0681481481481481,2,-63,0,64,0,"0.486577482828953","0.622448979591837","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unidentified","Unidentified",14,0.0296345051280545,0.147763472828221,0.147763472828215,0.205574912891986,0.501742160278746
"Arc_0006","Arc_0006","Level 1",1.58968403413995,0.528,0.9504,2,-175,0,179,0,"1.10120167166552","0.297520661157025","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosotenuis","Unidentified",11,0.0133901647211247,0.254439619955262,0.25443961995526,0.205574912891986,0.470383275261324
"Arc_0007","Arc_0007","Level 1",-0.283425480114113,3.793,1,6,-1,0,1,0,"-0.683882673223411","0.32","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea","Unidentified",5,0.00336645258198769,0.184357923293779,0.184357923293779,0.146341463414634,0.358885017421603
"Arc_0008","Arc_0008","Level 1",-1.98582101371161,0.211,0.45147102526003,7,-42,0,42,0,"1.88824781849084","0","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","Unidentified",14,0.0117072373326881,0.169381290417744,0.16938129041773,0.191637630662021,0.365853658536585
"Arc_0009","Arc_0009","Level 1",5.77489404439969,0,0,9,-7,0,7,0,"0.702648052522944","0.448979591836735","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus","Unidentified",7,0.0142434823775618,0.0575555417800177,0.0575555417800171,0.149825783972125,0.484320557491289
"Arc_0010","Arc_0010","Level 1",-2.56271546958593,0.056,0.146618181818182,2,-76,0,78,0,"0.179265388410667","0.444444444444444","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unidentified","Unidentified",9,0.0133835350681667,0.173895204296439,0.173895204296438,0.177700348432056,0.473867595818815
"Arc_0011","Arc_0011","Level 1",-10.2673690807528,0,0,3,0,0,0,0,"-0.843274042711568","0.444444444444444","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","Unidentified",3,0.000423180822935233,0.00801817687506284,0.00801817687506248,0.0418118466898955,0.139372822299652
"Arc_0013","Arc_0013","Level 1",5.61114252213454,0,0,8,-204,0,205,0,"0.898846607493181","0.73469387755102","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unidentified","Unidentified",14,0.0547098754813502,0.206987795801673,0.206987795801673,0.226480836236934,0.585365853658537
"Arc_0014","Arc_0014","Level 1",3.26584568932699,0.003,0.0109644670050761,8,-12,0,12,0,"0.0473077161838517","0.5","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosotaleales","Nitrosotaleaceae","Candidatus Nitrosotalea","Unidentified",6,0.0101099880119003,0.0940638589637431,0.0940638589637429,0.128919860627178,0.383275261324042
"Arc_0015","Arc_0015","Level 1",6.16392795676726,0,0,1,-111,0,113,0,"0.901827189034666","0.429752066115702","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrososphaera","Unidentified",11,0.0149773184739081,0.0624591103274304,0.0624591103274295,0.153310104529617,0.411149825783972
"Arc_0016","Arc_0016","Level 1",2.28989493243874,0.104,0.250854271356784,6,-38,0,39,0,"0.322944595688833","0.551111111111111","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Unidentified","Unidentified",15,0.0409953651650181,0.487243929464444,0.487243929464443,0.24390243902439,0.48780487804878
