Sample.ID	accession_number	sampling_date	Year	Month	Day	experimental_purpose	latitude_north	longitude_east	site	origin	soil_groups	land_use	soil_texture	pH_dry_soil	EC_electric_conductivity	Total_C	Total_N	soil_biomass	available_P	nitrogen_mineralization_rates	soil_respiration_activity	soil_moisture_content	cation_exchange_capacity_CEC	crop	planting_density	rate_of_organic_fertilizer_application	rate_of_chemical_fertilizer_applicationN	rate_of_chemical_fertilizer_applicationP	rate_of_chemical_fertilizer_applicationK	former_crop	seeding_or_transplanting	seeding_or_transplanting_date	DSI	DiseasePlant	nematodae	yield	PlantWeight	leafWeight	seedWeight
S_0029	000088-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	5.6	0.2	4.86	0.45	NA	31	NA	NA	35	NA	Cabbage	5.55	NA	25	11	21	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0028	000088-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	5.6	0.2	4.86	0.45	NA	31	NA	NA	35	NA	Cabbage	5.55	NA	25	11	21	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0027	000090-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.7	0.8	8.44	0.62	NA	75.2	NA	NA	35.2	NA	Cabbage	5.55	150	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0026	000090-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.653333333	0.765	8.437541241	0.624106811	NA	75.17625508	NA	NA	35.22575819	NA	Cabbage	5.55	150	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0025	000092-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	7.013333333	0.851666667	4.91350983	0.516742807	NA	328.6316453	NA	NA	33.41923665	NA	Cabbage	5.55	27	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0040	000092-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	7.013333333	0.851666667	4.91350983	0.516742807	NA	328.6316453	NA	NA	33.41923665	NA	Cabbage	5.55	27	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0039	000094-a_	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.566666667	0.481666667	5.702883201	0.562671306	NA	200.3935193	NA	NA	34.83365223	NA	Cabbage	5.55	22	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_0038	000094-b*	2006/8/24	2006	Aug	6	Effect_of_aplication_of_manure_on_the_contents_of_soil_nutrients_in_cabbage_field	36.01.48	140.06.00	Tsukuba	non-rhizosphere	Andosols	upland	NA	6.6	0.5	5.7	0.56	NA	200.4	NA	NA	34.8	NA	Cabbage	5.55	22	NA	NA	NA	Cabbage	transplanting	2006/8/24	NA	NA	NA	NA	NA	NA	NA
S_2575	004111-2	2011/5/24	2011	May	11	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.22.45	139.02.48	"Isesaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.6	0.07	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	NA	NA	NA	NA	Eggplant	transplanting	2011/4/7	NA	0	102.7	NA	NA	NA	NA
S_2574	004113-1	2011/5/24	2011	May	11	Disease_suppressive_effect_of_wildoats_application_to_chinese_cabbage_yallows.	36.22.45	139.02.48	"Isesaki,_Gunma"	non-rhizosphere	Andosols	upland	NA	5.1	0.07	NA	NA	NA	NA	NA	NA	NA	NA	Chinese_cabbage	2.6	NA	NA	NA	NA	Eggplant	transplanting	2011/4/7	NA	0	192	NA	NA	NA	NA
